FIPS_CODE,fips,mean,_3_14_20,_6_14_20,_8_14_20,_11_2_20,newcases_all,newcases_p1,newcases_p2,newcases_p3,IncidenceRate,Population
05031,5031,110332,0,358,1451,4972,4972,324.47522024,990.64641265,3191.277236,4506.3988689,110332
05033,5033,63257,0,56,695,2204,2204,88.527751869,1010.1648829,2385.5067423,3484.1993771,63257
05035,5035,47955,0,522,1455,2543,2543,1088.520488,1945.5739756,2268.7936607,5302.8881243,47955
05037,5037,16419,0,76,220,628,628,462.87837262,877.03270601,2484.9260004,3824.837079,16419
05039,5039,7009,0,3,67,188,188,42.802111571,913.11171351,1726.3518334,2682.2656584,7009
05041,5041,11361,0,22,207,433,433,193.64492562,1628.3777836,1989.2615087,3811.2842179,11361
05043,5043,18219,0,26,240,443,443,142.70816181,1174.5979472,1114.2214172,2431.5275262,18219
05045,5045,126007,0,154,1370,3554,3554,122.21543248,965.02575254,1733.2370424,2820.4782274,126007
05047,5047,17715,0,6,138,580,580,33.869602032,745.13124471,2495.060683,3274.0615298,17715
05049,5049,12477,0,9,47,350,350,72.132724213,304.56039112,2428.4683818,2805.1614972,12477
05051,5051,99386,0,162,1155,2660,2660,163.00082507,999.13468698,1514.2977884,2676.4333005,99386
05053,5053,18265,0,24,144,383,383,131.39885026,656.9942513,1308.5135505,2096.9066521,18265
05055,5055,45325,0,72,526,1681,1681,158.85273028,1001.6547159,2548.2625483,3708.7699945,45325
05057,5057,21532,0,36,260,599,599,167.19301505,1040.3120936,1574.4008917,2781.9060004,21532
05059,5059,33771,0,42,1599,2300,2300,124.3670605,4610.4645998,2075.7454621,6810.5771224,33771
05061,5061,13202,0,38,364,625,625,287.83517649,2469.3228299,1976.9731859,4734.1311922,13202
05063,5063,37825,0,42,589,1530,1530,111.0376735,1446.1335096,2487.7726371,4044.9438202,37825
05065,5065,13629,0,20,64,679,679,146.74590946,322.84100081,4512.4367158,4982.0236261,13629
05067,5067,16719,0,15,120,920,920,89.718284586,628.0279921,4784.9751779,5502.7214546,16719
05069,5069,66824,3,630,1657,4312,4309,938.28564588,1536.8729798,3973.1234287,6448.2820544,66824
05071,5071,26578,0,88,687,1064,1064,331.10091053,2253.7436978,1418.4664008,4003.3110091,26578
05073,5073,6624,0,11,59,204,204,166.06280193,724.63768116,2189.0096618,3079.7101449,6624
05075,5075,16406,0,91,226,893,893,554.67511886,822.86968182,4065.5857613,5443.130562,16406
05077,5077,8857,0,545,901,1114,1114,6153.3250536,4019.4196681,2404.877498,12577.62222,8857
05079,5079,13024,0,995,1228,2338,2338,7639.7420147,1789.004914,8522.7272727,17951.474201,13024
05081,5081,12259,0,34,196,490,490,277.34725508,1321.4780977,2398.2380292,3997.063382,12259
05083,5083,21466,0,19,331,616,616,88.512065592,1453.4612876,1327.6809839,2869.6543371,21466
05085,5085,73309,0,71,556,1887,1887,96.850318515,661.58316169,1815.6024499,2574.0359301,73309
05087,5087,16576,0,111,277,445,445,669.64285714,1001.4478764,1013.5135135,2684.6042471,16576
05089,5089,16694,0,2,33,180,180,11.980352222,185.69545945,880.55588834,1078.2317,16694
05091,5091,43257,0,69,533,1637,1637,159.51175532,1072.6587604,2552.1880852,3784.3586009,43257
05093,5093,40651,0,95,1097,2422,2422,233.69658803,2464.8840127,3259.452412,5958.0330127,40651
05095,5095,6701,0,7,71,235,235,104.46202059,955.08133114,2447.3959111,3506.9392628,6701
05097,5097,8986,0,2,40,188,188,22.25684398,422.88003561,1647.0064545,2092.1433341,8986
05099,5099,8252,0,80,146,339,339,969.46194862,799.80610761,2338.826951,4108.0950073,8252
05101,5101,7753,0,3,107,324,324,38.694698826,1341.416226,2798.9165484,4179.0274732,7753
05103,5103,23382,0,14,111,404,404,59.875117612,414.84902917,1253.1006757,1727.8248225,23382
05105,5105,10455,0,16,55,154,154,153.03682449,373.02725968,946.91535151,1472.9794357,10455
05107,5107,17782,0,39,336,786,786,219.32291081,1670.2283208,2530.6489709,4420.2002025,17782
05109,5109,10718,0,7,130,277,277,65.310692293,1147.6021646,1371.5245382,2584.437395,10718
05111,5111,23528,0,50,324,1210,1210,212.51275077,1164.5698742,3765.7259436,5142.8085685,23528
05113,5113,19964,0,53,157,378,378,265.47786015,520.93768784,1106.9925867,1893.4081346,19964
05115,5115,64072,0,256,1401,2840,2840,399.55050568,1787.0520664,2245.9108503,4432.5134224,64072
05117,5117,8062,0,7,107,251,251,86.827090052,1240.3870007,1786.1572811,3113.3713719,8062
05119,5119,391911,0,1289,5937,12518,12518,328.90120461,1185.9835524,1679.2077793,3194.0925363,391911
05121,5121,17958,0,28,252,695,695,155.91936741,1247.3549393,2466.8671344,3870.1414411,17958
05123,5123,24994,0,775,1236,1805,1805,3100.7441786,1844.4426662,2276.5463711,7221.733216,24994
05125,5125,122437,0,174,1184,3083,3083,142.11390348,824.91403742,1551.0017397,2518.0296806,122437
05127,5127,10281,0,3,72,233,233,29.180040852,671.1409396,1565.9955257,2266.3165062,10281
05129,5129,7881,0,7,32,214,214,88.821215582,317.21862708,2309.3516051,2715.3914478,7881
05131,5131,127827,0,148,2358,5133,5133,115.78148591,1728.8992153,2170.9028609,4015.5835622,127827
05133,5133,17007,0,446,1034,1417,1417,2622.4495796,3457.3998942,2252.0138766,8331.8633504,17007
05135,5135,17442,0,50,125,388,388,286.66437335,429.99656003,1507.8546038,2224.5155372,17442
05137,5137,12506,0,11,79,409,409,87.957780265,543.73900528,2638.733408,3270.4301935,12506
05139,5139,38682,0,203,539,1198,1198,524.79189287,868.62106406,1703.6347655,3097.0477225,38682
05141,5141,16545,0,30,53,215,215,181.32366274,139.0148081,979.14777879,1299.4862496,16545
05143,5143,239187,0,1804,6394,11912,11912,754.22159231,1919.0006146,2306.9815667,4980.2037736,239187
05145,5145,78753,0,58,370,1651,1651,73.647988013,396.17538379,1626.6047008,2096.4280726,78753
05147,5147,6320,0,4,23,143,143,63.291139241,300.63291139,1898.7341772,2262.6582278,6320
05149,5149,21341,0,303,1086,1372,1372,1419.8022586,3668.9939553,1340.143386,6428.9395998,21341
06001,6001,1671329,11,4278,15023,24227,24216,255.30580753,642.90154721,550.69947329,1448.906828,1671329
06003,6003,1129,0,2,2,16,16,177.14791851,0,1240.0354296,1417.1833481,1129
06005,6005,39752,0,10,209,357,357,25.155966995,500.60374321,372.30831153,898.06802173,39752
06007,6007,219186,0,91,1427,3272,3272,41.517250189,609.5279808,841.75084175,1492.7960727,219186
06009,6009,45905,2,18,165,282,280,34.854591003,320.22655484,254.87419671,609.95534256,45905
06011,6011,21547,0,7,399,572,572,32.487121177,1819.2787859,802.8959948,2654.6619019,21547
06013,6013,1153526,30,1895,10934,19436,19406,161.67819364,783.59742216,737.04450528,1682.3201211,1153526
06015,6015,27812,0,45,76,175,175,161.80066158,111.46267798,355.96145549,629.22479505,27812
06017,6017,192843,0,112,834,1419,1419,58.078333152,374.39782621,303.35557941,735.83173877,192843
06019,6019,999101,2,2641,20145,32279,32277,264.13745958,1751.9750255,1214.4918282,3230.6043133,999101
06021,6021,28393,0,21,395,697,697,73.961892016,1317.2260768,1063.6424471,2454.8304159,28393
06023,6023,135558,0,104,294,569,569,76.719928001,140.16140693,202.86519423,419.74652916,135558
06025,6025,181215,2,3734,8763,13025,13023,2059.4321662,2775.156582,2351.9024363,7186.4911845,181215
06027,6027,18039,0,23,117,248,248,127.50152447,521.09318698,726.20433505,1374.7990465,18039
06029,6029,900202,0,3281,25888,34563,34563,364.47375145,2511.3252359,963.67259793,3839.4715853,900202
06031,6031,152940,1,1025,4978,8711,8710,669.54361187,2584.6737283,2440.8264679,5695.043808,152940
06033,6033,64386,0,31,267,728,728,48.147112726,366.53930979,715.99416022,1130.6805827,64386
06035,6035,30573,0,15,711,800,800,49.062898636,2276.5184967,291.10653191,2616.6879273,30573
06037,6037,10039107,53,73018,218831,310606,310553,726.80767323,1452.4499042,914.17493608,3093.4325135,10039107
06039,6039,157327,2,205,2896,5088,5086,129.03061776,1710.4502088,1393.2764243,3232.7572508,157327
06041,6041,258826,3,691,5613,7152,7149,265.81564449,1901.6636659,594.60796056,2762.087271,258826
06043,6043,17203,0,16,63,81,81,93.007033657,273.20816137,104.63291286,470.84810789,17203
06045,6045,86749,0,33,432,1081,1081,38.040784332,459.9476651,748.13542519,1246.1238746,86749
06047,6047,277680,0,403,6470,9703,9703,145.13108614,2184.889081,1164.28983,3494.3099971,277680
06049,6049,8841,0,0,5,50,50,0,56.554688384,508.99219545,565.54688384,8841
06051,6051,14444,0,34,129,219,219,235.39185821,657.712545,623.09609526,1516.2004985,14444
06053,6053,434061,0,952,6135,11685,11685,219.32401206,1194.071801,1278.6221291,2692.0179422,434061
06055,6055,137744,0,181,1233,2091,2091,131.40318272,763.73562551,622.89464514,1518.0334534,137744
06057,6057,99755,1,53,390,675,674,52.127712897,337.82767781,285.69996491,675.65535562,99755
06059,6059,3175692,14,10285,47212,63783,63769,323.4255715,1162.8016823,521.80753045,2008.0347842,3175692
06061,6061,398329,6,372,2550,4482,4476,91.883844761,546.78419096,485.02619694,1123.6942327,398329
06063,6063,18807,0,4,33,86,86,21.268676557,154.19790504,281.80996437,457.27654597,18807
06065,6065,2470546,12,11241,46507,69426,69414,454.5149129,1427.4577361,927.6896686,2809.6623176,2470546
06067,6067,1552058,30,1752,13658,26714,26684,110.94946194,767.11050747,841.20567659,1719.265646,1552058
06069,6069,62808,0,102,781,1458,1458,162.39969431,1081.0724748,1077.8881671,2321.3603363,62808
06071,6071,2180085,0,7022,40683,65167,65167,322.09753289,1544.0223661,1123.0754764,2989.1953754,2180085
06073,6073,3338330,10,9441,34241,59230,59220,282.50652272,742.88641327,748.54792666,1773.9408626,3338330
06075,6075,881549,29,2835,7475,12492,12463,318.30335013,526.34623827,569.11187013,1413.7614585,881549
06077,6077,762148,9,1606,14952,22191,22182,209.53935456,1751.1034602,949.81552139,2910.4583362,762148
06079,6079,283111,0,335,2433,4343,4343,118.32814691,741.05209617,674.64704656,1534.0272896,283111
06081,6081,766573,28,2574,6662,11339,11311,332.12753384,533.28254452,610.11801877,1475.5280971,766573
06083,6083,446499,0,2066,7369,10106,10106,462.71100271,1187.6846309,612.99129449,2263.3869281,446499
06085,6085,1927852,60,3190,13815,25270,25210,162.35686142,551.13151839,594.18461583,1307.6729956,1927852
06087,6087,273213,8,254,1429,2978,2970,90.039639402,430.06738332,566.9569164,1087.0639391,273213
06089,6089,180080,1,48,449,2198,2197,26.099511328,222.67880942,971.23500666,1220.0133274,180080
06091,6091,3005,0,1,5,6,6,33.277870216,133.11148087,33.277870216,199.6672213,3005
06093,6093,43539,0,13,98,227,227,29.858287972,195.22726751,296.28608833,521.37164381,43539
06095,6095,447643,3,619,4428,7681,7678,137.6096577,850.90127624,726.69515663,1715.2060906,447643
06097,6097,494336,2,726,4101,9829,9827,146.45908856,682.73401088,1158.7260487,1987.9191481,494336
06099,6099,550660,4,1165,12564,18876,18872,210.83790361,2070.0613809,1146.2608506,3427.1601351,550660
06101,6101,96971,0,63,1040,1897,1897,64.967876994,1007.5177115,883.76937435,1956.2549628,96971
06103,6103,65084,0,19,307,973,973,29.193042837,442.50507037,1023.2929752,1494.9910884,65084
06105,6105,12285,0,5,12,43,43,40.7000407,56.98005698,252.34025234,350.02035002,12285
06107,6107,466195,4,2656,12048,18278,18274,568.86066989,2014.6076213,1336.3506687,3919.8189599,466195
06109,6109,54478,0,7,160,308,308,12.84922354,280.84731451,271.6692977,565.36583575,54478
06111,6111,846006,5,1623,9362,15172,15167,191.25159869,914.76892599,686.7563587,1792.7768834,846006
06113,6113,220500,2,254,1995,3328,3326,114.28571429,789.569161,604.53514739,1508.3900227,220500
06115,6115,78668,0,28,608,1285,1285,35.592617074,737.2756394,860.57863426,1633.4468907,78668
08001,8001,517421,6,4005,7331,18706,18700,772.87160745,642.80344246,2198.4032345,3614.0782844,517421
08003,8003,16233,0,161,236,413,413,991.80681328,462.02180743,1090.3714655,2544.2000862,16233
08005,8005,656590,10,5302,8217,16821,16811,805.98242434,443.96046239,1310.4067988,2560.3496855,656590
08007,8007,14029,0,8,42,80,80,57.024734479,242.35512153,270.86748877,570.24734479,14029
08009,8009,3581,0,12,15,65,65,335.10192684,83.775481709,1396.2580285,1815.135437,3581
08011,8011,5577,0,3,11,27,27,53.792361485,143.44629729,286.89259458,484.13125336,5577
08013,8013,326196,1,1217,2184,6870,6869,372.78200836,296.44753461,1436.5596145,2105.7891574,326196
08014,8014,70465,0,287,523,1315,1315,407.29440148,334.91804442,1123.9622508,1866.1746967,70465
08015,8015,20356,0,76,304,464,464,373.35429357,1120.0628807,786.0090391,2279.4262134,20356
08017,8017,1831,0,5,9,17,17,273.0748225,218.459858,436.919716,928.4543965,1831
08019,8019,9700,1,20,33,112,111,195.87628866,134.02061856,814.43298969,1144.3298969,9700
08021,8021,8205,0,16,28,99,99,195.00304692,146.25228519,865.32602072,1206.5813528,8205
08023,8023,3887,0,18,27,50,50,463.08206843,231.54103422,591.71597633,1286.339079,3887
08025,8025,6061,0,68,72,211,211,1121.9270747,65.995710279,2293.3509322,3481.2737172,6061
08027,8027,5068,0,3,14,48,48,59.194948698,217.04814522,670.87608524,947.11917916,5068
08029,8029,31162,0,82,141,279,279,263.14100507,189.33316218,442.84705731,895.32122457,31162
08031,8031,727211,23,6960,11134,23426,23403,953.91846383,573.97371602,1690.2934637,3218.1856435,727211
